French,English
partie,part
histoire,history
chercher,search
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
sois,be
tiens,here
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
jouer,to play
bureau,office
